Model,Activation,Optimizer,Seq Length,Grad Clipping,Accuracy,F1,Epoch Time (s)
RNN,relu,adam,25,False,0.76924,0.7689195335421,15.421374464035035
RNN,relu,adam,25,True,0.76688,0.7668713820742583,14.9773423910141
RNN,relu,sgd,25,False,0.57,0.5690945359352902,12.550793647766113
RNN,relu,sgd,25,True,0.57308,0.5692051617192522,12.965845489501953
RNN,tanh,adam,25,False,0.76444,0.7643971885188847,15.309707498550415
RNN,tanh,adam,25,True,0.76668,0.7665312669692603,15.679575753211974
RNN,tanh,sgd,25,False,0.63492,0.6309991868785896,12.53157398700714
RNN,tanh,sgd,25,True,0.61348,0.6134162656406846,12.891546845436096
LSTM,relu,adam,25,False,0.77308,0.7729044915072164,12.599223113059997
LSTM,relu,adam,25,True,0.77188,0.7717096080693739,12.941583395004272
LSTM,relu,sgd,25,False,0.51764,0.4990736921726313,10.634326219558716
LSTM,relu,sgd,25,True,0.53944,0.5256272085032179,10.000343585014344
LSTM,tanh,adam,25,False,0.77356,0.7735393029416373,12.387315154075623
LSTM,tanh,adam,25,True,0.7734,0.7732930490915706,12.832256412506103
LSTM,tanh,sgd,25,False,0.55248,0.5493424166309734,9.847687530517579
LSTM,tanh,sgd,25,True,0.5258,0.5074646959193041,10.147285890579223
RNN,relu,adam,50,False,0.7664,0.7663835160208905,15.501461029052734
RNN,relu,adam,50,True,0.76912,0.7690863035955731,15.825368905067444
RNN,relu,sgd,50,False,0.587,0.5805463185422599,12.700648760795593
RNN,relu,sgd,50,True,0.5948,0.5915442324065028,13.164547395706176
RNN,tanh,adam,50,False,0.76832,0.7680692609768542,15.407407236099242
RNN,tanh,adam,50,True,0.76588,0.7657798328411844,15.868861818313599
RNN,tanh,sgd,50,False,0.61316,0.6125888380770194,12.750248837471009
RNN,tanh,sgd,50,True,0.6122,0.6112818633098633,13.142570209503173
LSTM,relu,adam,50,False,0.77252,0.771997305098754,16.313582801818846
LSTM,relu,adam,50,True,0.77508,0.7750799391816156,23.96705594062805
LSTM,relu,sgd,50,False,0.54744,0.5474341347463862,21.616671752929687
LSTM,relu,sgd,50,True,0.51704,0.5155153510143335,20.992311787605285
LSTM,tanh,adam,50,False,0.77208,0.7720204641473221,54.615318179130554
LSTM,tanh,adam,50,True,0.77328,0.7727908277404922,25.450271606445312
LSTM,tanh,sgd,50,False,0.5408,0.5263816320787451,19.42435736656189
LSTM,tanh,sgd,50,True,0.55024,0.5437574133333853,19.59839720726013
RNN,relu,adam,100,False,0.76652,0.7663576537091368,20.02059919834137
RNN,relu,adam,100,True,0.76832,0.7682220242974901,16.984472775459288
RNN,relu,sgd,100,False,0.61688,0.6168714645092349,12.232089376449585
RNN,relu,sgd,100,True,0.56184,0.5617926034879932,12.572763371467591
RNN,tanh,adam,100,False,0.77152,0.7715175418943228,14.717385649681091
RNN,tanh,adam,100,True,0.76664,0.7666090265905624,15.118049263954163
RNN,tanh,sgd,100,False,0.6108,0.6077625128998968,12.581501603126526
RNN,tanh,sgd,100,True,0.62168,0.6215020975074754,13.00179648399353
LSTM,relu,adam,100,False,0.77108,0.7710234156728436,25.666247510910033
LSTM,relu,adam,100,True,0.7752,0.7749660957993771,26.62252962589264
LSTM,relu,sgd,100,False,0.51804,0.5069523435120221,22.48524115085602
LSTM,relu,sgd,100,True,0.56368,0.56179424287301,23.170038080215456
LSTM,tanh,adam,100,False,0.77172,0.770737005013099,25.85364716053009
LSTM,tanh,adam,100,True,0.77596,0.7759598964038561,27.35126507282257
LSTM,tanh,sgd,100,False,0.5316,0.5093053744925246,23.318732714653017
LSTM,tanh,sgd,100,True,0.50844,0.43374910011920687,23.147444224357606
